0;5;6
1;6;7
2;7;8
3;8;9
4;9;10
5;10;11
6;11;12
7;12;13
8;13;14
9;15;16
10;16;17
11;17;18
12;18;19
13;19;20
14;20;21
15;21;22
16;22;23
17;23;24
18;25;26
19;26;27
20;27;28
21;28;29
22;29;30
23;30;31
24;31;32
25;32;33
26;33;34
27;35;36
28;36;37
29;37;38
30;38;39
31;39;40
32;40;41
33;41;42
34;42;43
35;43;44
36;45;46
37;46;47
38;47;48
39;48;49
40;49;50
41;50;51
42;51;52
43;52;53
44;53;54
45;5;15
46;6;16
47;7;17
48;8;18
49;9;19
50;10;20
51;11;21
52;12;22
53;13;23
54;14;24
55;15;25
56;16;26
57;17;27
58;18;28
59;19;29
60;20;30
61;21;31
62;22;32
63;23;33
64;24;34
65;25;35
66;26;36
67;27;37
68;28;38
69;29;39
70;30;40
71;31;41
72;32;42
73;33;43
74;34;44
75;35;45
76;36;46
77;37;47
78;38;48
79;39;49
80;40;50
81;41;51
82;42;52
83;43;53
84;44;54
85;6;5
86;7;6
87;8;7
88;9;8
89;10;9
90;11;10
91;12;11
92;13;12
93;14;13
94;16;15
95;17;16
96;18;17
97;19;18
98;20;19
99;21;20
100;22;21
101;23;22
102;24;23
103;26;25
104;27;26
105;28;27
106;29;28
107;30;29
108;31;30
109;32;31
110;33;32
111;34;33
112;36;35
113;37;36
114;38;37
115;39;38
116;40;39
117;41;40
118;42;41
119;43;42
120;44;43
121;46;45
122;47;46
123;48;47
124;49;48
125;50;49
126;51;50
127;52;51
128;53;52
129;54;53
130;15;5
131;16;6
132;17;7
133;18;8
134;19;9
135;20;10
136;21;11
137;22;12
138;23;13
139;24;14
140;25;15
141;26;16
142;27;17
143;28;18
144;29;19
145;30;20
146;31;21
147;32;22
148;33;23
149;34;24
150;35;25
151;36;26
152;37;27
153;38;28
154;39;29
155;40;30
156;41;31
157;42;32
158;43;33
159;44;34
160;45;35
161;46;36
162;47;37
163;48;38
164;49;39
165;50;40
166;51;41
167;52;42
168;53;43
169;54;44
170;1;5
171;1;6
172;1;7
173;1;8
174;1;9
175;1;10
176;1;11
177;1;12
178;1;13
179;1;14
180;2;5
181;2;15
182;2;25
183;2;35
184;2;45
